"N_plot","mean_net_change","se_net_change","mean_NEP","se_NEP","treatment"
53,110.15867219054,8.94224575599274,5.79782485213368,0.470644513473302,"Control"
55,106.729240116359,7.55311446398713,5.6173284271768,0.397532340209849,"Burn"
46,39.7356718330975,9.24345192390083,2.09135114911039,0.486497469678991,"Mech"
48,38.8128092088049,8.68140310366436,2.04277943204236,0.45691595282444,"MechBurn"
