"","treatment","mean_ptorch","mean_pmort","N_plot","se_ptorch","se_pmort"
"1","burn",24.7846464154545,11.5090909090909,55,5.08135052830835,2.38540352659575
"2","control",64.9983385226415,47.6037735849057,53,5.55238053287576,5.6482744338684
"3","mech",19.1677248695652,9.28260869565217,46,4.27374538648514,0.960406035046068
"4","mechburn",2.29318143854167,6.9375,48,1.18818612541348,1.48019018628981
