"","treatment","N_plot","mean_dead_large_in_total_live_large","se_dead_large_in_total_live_large"
"1","burn",56,0.0438342452567617,0.0169839238925446
"2","control",53,0.278744331942237,0.0569125288249634
"3","mech",46,0.0326520936441907,0.00374733635541663
"4","mechburn",48,0.0226050902858583,0.00211191994620569
