"","treatment","mean","N_plot","se"
"1","burn",28.8606047605818,55,2.50291647225777
"2","control",85.7521393490566,53,5.03128229707527
"3","mech",55.749868696087,46,4.84138252560095
"4","mechburn",19.8524347723333,48,2.81821020379689
