"treatment","mean_survive_fire_resist","se_survive_fire_resist","mean_survive_large","se_survive_large"
"burn",62.5443008392857,10.176606827271,102.343558896589,11.1538183707755
"control",48.8714582911698,9.74398055999626,86.3308668679623,15.3376808905333
"mech",63.1427817576304,12.7708833687245,122.790671338261,13.0827107011301
"mechburn",81.7421637170833,9.69027149810236,88.3221247347917,10.1032816561181
