"treatment","comp","plot_id","period","live_vegetation_recovery_rate","live_vegetation_carbon","live_veg_disturbance"
"burn",60,"0060-00021","Burn_1",-0.00430517527807939,143.608928448611,-4.45762376976921
"burn",60,"0060-00027","Burn_1",1.41257575020569,54.0847885963002,1.15259157633613
"burn",60,"0060-00101","Burn_1",1.78595575557472,70.118977521721,1.31127249690764
"burn",60,"0060-00102","Burn_1",-11.6236745255322,205.579639152968,2.27114133677671
"burn",60,"0060-00103","Burn_1",0.472322869872009,113.954079199723,-0.903187854590339
"burn",60,"0060-00104","Burn_1",3.49591572671967,73.0924344850185,-0.33014064093333
"burn",60,"0060-00105","Burn_1",4.29889395938078,107.187968514548,0.784533794634311
"burn",60,"0060-00106","Burn_1",2.38910876576379,125.92461332662,2.21761939441896
"burn",60,"0060-00107","Burn_1",2.31610614481122,57.297469832188,0.312000912737681
"burn",60,"0060-00108","Burn_1",1.75221221412035,46.4751408678163,-3.20189088033689
"burn",60,"0060-00109","Burn_1",2.25318081049097,188.564516248978,3.11089432966099
"burn",60,"0060-00111","Burn_1",0.156772604509841,113.658519093149,3.12142456315769
"burn",60,"0060-00112","Burn_1",3.18802679957054,114.354842229209,-5.13748188166351
"burn",60,"0060-00113","Burn_1",2.28781116805657,113.322275593626,3.10779905395924
"burn",60,"0060-00114","Burn_1",-0.10088779555123,209.702558451733,-3.57137683750364
"burn",60,"0060-00116","Burn_1",1.2223003686638,112.6146478468,0.924419477840268
"burn",60,"0060-00117","Burn_1",5.89290370450816,172.093487276507,-2.20581857815223
"burn",60,"0060-00119","Burn_1",6.1639831990973,206.826892382029,-21.1002885363185
"burn",60,"0060-00130","Burn_1",3.08463061889455,124.217445518491,-25.679101111801
"burn",340,"0340-00006","Burn_1",4.59436889760609,126.426245750745,-3.03935131179902
"burn",340,"0340-00013","Burn_1",2.89004812305714,133.996904149902,1.91213365522801
"burn",340,"0340-00024","Burn_1",5.1525724984071,222.44646720479,0.912451106110069
"burn",340,"0340-00025","Burn_1",3.27820926315487,67.0526725106073,5.31628087761514
"burn",340,"0340-00026","Burn_1",-2.99262445451471,119.104429870188,-20.6837872183991
"burn",340,"0340-00103","Burn_1",-0.659852947232494,229.114139033686,2.42597828499127
"burn",340,"0340-00104","Burn_1",3.83835745529963,115.710527591246,1.5087146376623
"burn",340,"0340-00108","Burn_1",1.64089026590202,79.2371433703681,-0.728037307068202
"burn",340,"0340-00109","Burn_1",1.36183812514567,84.4322260247379,0.395389603835277
"burn",340,"0340-00111","Burn_1",-1.10527278681369,97.5675794810945,-0.762717817756212
"burn",340,"0340-00112","Burn_1",-4.71534511609886,393.825983301662,10.3035615036445
"burn",340,"0340-00113","Burn_1",-1.40616834978099,260.133894575205,-1.23976561079203
"burn",340,"0340-00114","Burn_1",2.54060034547945,191.123308445076,4.1795918370432
"burn",340,"0340-00116","Burn_1",-4.555633643561,174.549501949747,2.95405754962372
"burn",340,"0340-00117","Burn_1",3.26424220610213,146.66637595662,1.73669993711712
"burn",340,"0340-00121","Burn_1",2.68013792172929,152.369303558223,-1.46864239602742
"burn",340,"0340-00123","Burn_1",5.39525214485819,231.153475665092,1.49699484572285
"burn",340,"0340-00124","Burn_1",-11.5392964167428,131.567364771661,1.9732736643089
"burn",400,"0400-00002","Burn_1",1.26815437876419,92.2602426834873,2.06320374855333
"burn",400,"0400-00009","Burn_1",1.36659218966532,143.42252871133,1.81891683991765
"burn",400,"0400-00022","Burn_1",-2.52790619379633,187.711735483311,3.4100028202039
"burn",400,"0400-00023","Burn_1",1.4400562843351,43.8906750949227,1.79206018760842
"burn",400,"0400-00024","Burn_1",5.12601172068211,186.328919719896,0.815543643527207
"burn",400,"0400-00101","Burn_1",2.88380899534605,122.565817771471,1.87607569793138
"burn",400,"0400-00102","Burn_1",-1.77852405079022,108.601973884509,-0.0894183976699149
"burn",400,"0400-00103","Burn_1",1.43460399036709,146.660061447606,2.28988690643085
"burn",400,"0400-00104","Burn_1",-1.84602508517364,126.052471214046,-0.337999497979355
"burn",400,"0400-00105","Burn_1",7.01934790046754,175.745792136933,3.56020633357362
"burn",400,"0400-00106","Burn_1",8.32744577040545,270.668967804919,0.705740065444722
"burn",400,"0400-00108","Burn_1",2.22262448431912,168.475988679748,3.74665621483437
"burn",400,"0400-00109","Burn_1",3.85705496087368,129.483352555328,1.25308498460078
"burn",400,"0400-00110","Burn_1",4.23723664604782,172.121780380882,2.06182796564038
