"treatment","timestep","comp","plot_id","tree_carbon_Live","tree_carbon_Snag","understory_carbon","duff_carbon","litter_carbon","fines_carbon","coarse_carbon","fuels_carbon","soil_carbon","all_carbon"
"burn","post_18",60,"0060-00021",156.191389638046,1.7920310442639,0.128919375,3.707912819847,8.602542405285,1.29360247525,1.28046427375,14.884521974132,46.3876696817035,219.384531713145
"burn","post_18",60,"0060-00027",90.4070113969824,0,0.773516248,10.39587075,6.00240608,1.78588121275,0,18.18415804275,42.1603918798549,151.525077567587
"burn","post_18",60,"0060-00101",99.8710059566163,3.73605707955071,0,4.14823226068,27.136921865735,3.17246445625,0,34.457618582665,113.264986420834,251.329668039666
"burn","post_18",60,"0060-00102",178.016152390597,10.18655138398,0.773516248,2.130655573836,5.103665036468,1.1839692135,99.670954505,108.089244328804,82.0579080107472,379.123372362128
"burn","post_18",60,"0060-00103",139.335731392212,4.08853922858693,3.249268241,17.42415149516,9.7378982288,2.7875217115,0,29.94957143546,82.7010160775189,259.324126374778
"burn","post_18",60,"0060-00104",138.411746992626,0,0,6.97866892752,6.18459761712,1.5837227885,0,14.74698933314,46.5167341858071,199.675470511574
"burn","post_18",60,"0060-00105",158.173735371609,8.8371111483019,0,9.32249006457,2.030250278789,5.71512057725,4.3287457225,21.396606643109,58.6567683562514,247.064221519271
"burn","post_18",60,"0060-00106",180.506820392201,4.29982133362832,0,14.04389269216,7.61558204042,8.50111300575,17.526732835,47.68732057333,74.3972687637963,306.891231062955
"burn","post_18",60,"0060-00107",91.0701608132328,0,0.773516248,7.60128358028,14.26198634449,0.6839683775,5.65922272625,28.20646102852,74.4987653309228,194.548903420676
"burn","post_18",60,"0060-00109",268.799307535448,1.06402460808517,0,2.674746682018,9.634850974105,4.34060740825,8.3058013085,24.956006372873,67.6186922104511,362.438030726858
"burn","post_18",60,"0060-00111",163.222451593975,2.43984156265349,0,4.64262330974,6.424486915525,2.12177185,46.8531640075,60.042046082765,62.9259140616557,288.63025330105
"burn","post_18",60,"0060-00112",152.105901239977,0,0,11.62055466769,6.386626646205,2.336643313,0,20.343824626895,59.5633701437011,232.013096010573
"burn","post_18",60,"0060-00113",175.247970545215,0,3.248768241,2.624739449063,10.04211880524,6.90837250875,5.1502647425,24.725495505553,49.322664782388,252.544899074156
"burn","post_18",60,"0060-00114",240.808249712432,3.90973515051442,0.773516248,5.016257008539,8.617326388835,3.30437902925,9.4811042825,26.419066709124,77.3846763092308,349.295244129302
"burn","post_18",60,"0060-00116",149.705196645433,0,3.248768241,6.64950799282,11.11410389515,2.3258240655,3.16768845,23.25712440347,58.6633380992007,234.874427389104
"burn","post_18",60,"0060-00117",262.680049764128,0,0.773516248,6.85281098115,7.177442355475,2.748187253,1.78859221675,18.567032806375,93.8184833720337,375.839082190537
"burn","post_18",60,"0060-00119",259.979843735722,16.4348796424147,0,7.70019678789,18.24280030265,3.97232936725,0,29.91532645779,98.8992489264119,405.229298762339
"burn","post_18",340,"0340-00006",154.740671352752,27.4945570602509,0.607414266,0,2.290827691833,3.7647556445,10.04995352,16.105536856333,51.2900740971871,250.238253632523
"burn","post_18",340,"0340-00013",159.125708993608,0,0,2.619376812738,17.13773777046,6.97100306225,6.9508034625,33.678921107948,51.9861439703161,244.790774071872
"burn","post_18",340,"0340-00024",298.488038450913,10.3303180289162,0,0,31.215315212955,3.1790407655,25.45202117225,59.846377150705,33.0133077417828,401.678041372317
"burn","post_18",340,"0340-00025",137.002949078061,1.87335155921559,0,9.07267277495,18.99968755249,2.43722973275,14.68344239725,45.19303245744,77.2124402893052,261.281773384022
"burn","post_18",340,"0340-00026",81.7427975687073,0,0,0,11.326554068045,4.56939668775,2.64580219,18.541752945795,46.305990632156,146.590541146658
"burn","post_18",340,"0340-00103",231.289939009596,9.91410551666872,3.856182507,8.072258590017,8.6249340605945,6.39417951975,45.80590452,68.8972766903615,73.4576507606624,387.415154484288
"burn","post_18",340,"0340-00104",158.379205709166,13.4526579203828,0.773516248,9.7908813451,9.641036681885,4.0047782145,1.01500914775,24.451705389235,67.2400533340964,264.29713860088
"burn","post_18",340,"0340-00108",122.836635394752,1.24910407348081,0,1.119654378714,12.672478658862,7.438741588,3.62364490225,24.854519527826,58.1140681209996,207.054327117058
"burn","post_18",340,"0340-00109",136.06317206852,1.9323653351018,0,0,8.81105614292,2.9007600305,2.28652883925,13.99834501267,79.0736259941077,231.067508410399
"burn","post_18",340,"0340-00111",109.630620670922,0,0.773516248,0,21.392013694105,2.028139212,26.32874510125,49.748898007355,46.0273161837286,206.180351110006
"burn","post_18",340,"0340-00112",456.683038728231,5.91968422128722,0,0,9.06802687486,2.377011525,2.2998283605,13.74486676036,40.2384898132516,516.58607952313
"burn","post_18",340,"0340-00113",181.844528229133,3.71388381112472,0.230155086,3.42881971292,2.3515919824485,2.13756674525,21.77731726,29.6952957006185,45.8420179426765,261.325880769553
"burn","post_18",340,"0340-00114",224.871246759644,0,0.101235711,10.51860821112,37.631385513075,9.99445281425,7.5175759525,65.662022490945,59.2022000596051,349.836705021194
"burn","post_18",340,"0340-00115",147.777623411387,13.4965068259374,0.129419375,5.150896985314,8.224407888425,7.4200975275,6.989685479,27.785087880239,75.4371602652148,264.625797757778
"burn","post_18",340,"0340-00116",172.102430496076,20.6198069015982,5e-04,0,7.268170660381,7.654232602,17.4270600995,32.349463361881,53.5281190554812,278.600319815036
"burn","post_18",340,"0340-00117",124.135085184989,55.996578816872,0.128919375,1.414018511208,26.419198068165,5.986269715,0,33.819486294373,47.2175466215919,261.297616292825
"burn","post_18",340,"0340-00121",239.201429305765,1.9672781930995,3.856182507,7.898338942044,3.472555972996,4.2558724955,2.219426472,17.84619388254,61.3300257634793,324.201109651884
"burn","post_18",340,"0340-00122",145.304205255723,7.97494537959941,0,1.7447133,18.522315,4.5721579995,1.41814588075,26.25733218025,71.5133492954542,251.049832111027
"burn","post_18",340,"0340-00123",353.009549291043,2.16227183206074,0.129419375,1.74011271259,1.857361314056,0.6250406385,0,4.222514665146,59.7172733292119,419.241028492462
"burn","post_18",340,"0340-00124",138.285390285226,10.0619285133708,0.0126,0,18.83405291852,2.7887765765,81.0499614025,102.67279089752,66.6585316152636,317.69124131138
"burn","post_18",400,"0400-00002",50.6233619450859,35.2620655253838,0.128919375,1.056105403785,16.31540677165,8.9657681365,4.5587779425,30.896058254435,52.5857424657265,169.496147565631
"burn","post_18",400,"0400-00009",161.072182768217,21.3960645484439,0,0.696704149657,6.7770631932135,4.56632833425,5.4529775275,17.4930732046205,57.3996007137829,257.360921235064
"burn","post_18",400,"0400-00022",245.352591609442,0,0,0.616942910246,7.10052907096,3.57707081075,1.0462144445,12.340757236456,52.5973443792965,310.290693225195
"burn","post_18",400,"0400-00023",80.1218973280554,0.559471209218344,0,2.463255127712,8.166202561075,4.442757738,5.423961787,20.496177213787,59.7649347597337,160.942480510794
"burn","post_18",400,"0400-00024",261.333757901987,20.3255641428312,0.129419375,0.955471003825,9.725933551795,2.77208063025,12.6774839285,26.13096911437,41.0031167172133,348.922827251401
"burn","post_18",400,"0400-00101",173.632918206512,3.14737249296638,0,4.945982817339,5.563954709474,2.313857449,0,12.823794975813,58.2299065332949,247.833992208586
"burn","post_18",400,"0400-00102",125.106754895519,0,0,2.61407064787,6.77245292419,7.07072150675,6.015910915,22.47315599381,48.0308887832038,195.610799672533
"burn","post_18",400,"0400-00103",232.4177699682,5.16909933779298,0.773516248,0,5.9132278868245,3.59325305075,4.85832191475,14.3648028523245,80.0965806525663,332.821769058884
"burn","post_18",400,"0400-00104",143.942956001091,2.38849156922969,0.773516248,0,10.74145871555,3.17994857025,0,13.9214072858,53.6329852704356,214.659356374556
"burn","post_18",400,"0400-00105",302.199983342728,0.719723328880565,0,0.976584311373,5.6781330687065,1.09975208425,3.14418431,10.8986537743295,72.6746109951495,386.492971441087
"burn","post_18",400,"0400-00106",415.161602051814,0,0,5.69590835976,2.5267950971135,0.69227425575,2.5211591875,11.4361369001235,46.3868439027769,472.984582854714
"burn","post_18",400,"0400-00108",222.165928515261,4.8381447417655,0,0,4.635597309786,3.96887561275,1.18624684625,9.790719768786,49.994015945338,286.78880897115
"burn","post_18",400,"0400-00109",206.853733537128,0,0,0.660867902823,11.35934831869,1.356705189,0,13.376921410513,45.343409810888,265.574064758528
"burn","post_18",400,"0400-00110",177.087972377524,49.5548589383169,0,0.326284535009,7.335648923025,2.37390668575,0.58782143575,10.623661579534,53.8610960462666,291.127588941642
"burn","post_18",400,"0400-00116",181.612075055815,5.31580780692237,1.381430514,5.743869210697,5.32871994405,0.35746161575,6.878173258,18.308224028497,64.2996848154398,270.917222220674
"burn","post_18",400,"0400-00118",157.578574282072,3.858014202866,0.773516248,0,7.98228068878,2.8175613925,4.98570759175,15.78554967303,60.356779614493,238.352434020461
"burn","post_18",400,"0400-00119",96.2974472560908,0.512407787949924,0.736833641,0,2.29308948804,2.693032823,21.73713226,26.72325457104,57.5088218131121,181.778765069193
"burn","post_18",400,"0400-00120",234.462397178639,0,0.129419375,5.85227074655,3.949219649799,3.56434302725,0,13.365833423599,53.4314204794968,301.389070456735
"burn","post_18",400,"0400-00121",290.264953810922,0,0,3.944480414613,4.0060314367395,3.4372631225,2.102629381,13.4904043548525,45.8560631024118,349.611421268186
"burn","pre_treatment",60,"0060-00021",148.942893046273,0,0,25.8840255098,9.64997959865,4.466975916,7.858403785,47.85938480945,71.1585462594549,267.960824115178
"burn","pre_treatment",60,"0060-00027",53.6415420535672,3.24021455726048,0.773516248,11.99359439888,8.677608586488,11.96625533775,4.14664994775,36.784108270868,57.7537129387807,152.193094068476
"burn","pre_treatment",60,"0060-00101",76.1887622545748,0,0.101235711,40.39837283362,17.328209046295,4.903220677,9.41186312,72.041665676915,66.1655321814929,214.497195823983
"burn","pre_treatment",60,"0060-00102",211.090586968245,0,0.101235711,45.2005115592,13.827960863655,9.22844543975,2.678201252,70.935119114605,63.3658131331568,345.492754927007
"burn","pre_treatment",60,"0060-00103",112.951370535723,0,1.002708664,12.207858311,11.604457242965,12.78090052325,0,36.593216077215,60.2316158295644,210.778911106502
"burn","pre_treatment",60,"0060-00104",70.2404944810185,0,2.851940004,29.0049045615,19.41050607738,4.932327724,9.84801922,63.19575758288,59.3794067190324,195.667598786931
"burn","pre_treatment",60,"0060-00105",125.404528432227,0,0.202971422,11.3663904151,14.121896774795,6.8596976795,6.4172175555,38.765202424895,60.6435654318706,225.016267710993
"burn","pre_treatment",60,"0060-00106",134.436941332909,0,0,48.2694631227,10.65653905678,6.2493480505,14.6221967475,79.79754697748,70.0123014704735,284.246789780862
"burn","pre_treatment",60,"0060-00107",65.6578101920386,0,1.344098405,0,12.195731425375,6.837060262,16.527350278,35.560141965375,70.580171128029,173.142221690443
