,StandID,Year,PTorch_Sev,Mortality_BA_Sev,treatment
133,0350-00116,2020,0.091295972,6,mech
134,0350-00117,2020,0.025655663,5,mech
135,0350-00119,2020,6.72E-05,16,mech
136,0490-00004,2020,0.125899121,10,mech
137,0490-00008,2020,0.013197755,5,mech
138,0490-00018,2020,0.601681948,21,mech
139,0490-00020,2020,0.315967172,15,mech
140,0490-00033,2020,5.20E-05,3,mech
141,0490-00035,2020,0.714251578,14,mech
142,0490-00041,2020,0,3,mech
143,0490-00042,2020,0.134098023,12,mech
144,0490-00102,2020,0.921128571,7,mech
145,0490-00103,2020,4.97E-06,5,mech
146,0490-00104,2020,0,2,mech
147,0490-00105,2020,0.17531547,18,mech
148,0490-00110,2020,0,8,mech
149,0490-00115,2020,0.50070405,4,mech
150,0490-00117,2020,0.025027873,4,mech
151,0490-00120,2020,0.966661751,11,mech
152,0490-00122,2020,0.000309878,9,mech
153,0490-00124,2020,0.425074428,28,mech
154,0490-00125,2020,0.643002808,30,mech
155,0490-00126,2020,0.000226211,7,mech
156,0570-00017,2020,0.00464492,6,mechburn
157,0570-00025,2020,0.314250976,37,mechburn
158,0570-00107,2020,0,4,mechburn
159,0570-00115,2020,0,9,mechburn
160,0180-00008,2020,0,4,mechburn
161,0180-00010,2020,0,3,mechburn
162,0180-00018,2020,0,3,mechburn
163,0180-00101,2020,0,0,mechburn
164,0180-00102,2020,0,1,mechburn
165,0180-00107,2020,0,4,mechburn
166,0180-00108,2020,0,3,mechburn
167,0180-00109,2020,0,5,mechburn
168,0180-00110,2020,0.069061585,61,mechburn
169,0180-00111,2020,0.002897308,4,mechburn
170,0180-00114,2020,0,2,mechburn
171,0380-00002,2020,0,8,mechburn
172,0380-00004,2020,0,4,mechburn
173,0380-00006,2020,0.001046184,4,mechburn
174,0380-00010,2020,0,4,mechburn
175,0380-00015,2020,0.099999994,6,mechburn
176,0380-00102,2020,5.37E-08,2,mechburn
177,0380-00103,2020,0,0,mechburn
178,0380-00104,2020,0,3,mechburn
179,0380-00107,2020,0,3,mechburn
180,0380-00110,2020,0,1,mechburn
181,0380-00112,2020,0,6,mechburn
182,0380-00113,2020,3.52E-07,17,mechburn
183,0380-00114,2020,0,1,mechburn
184,0380-00117,2020,0,2,mechburn
185,0380-00118,2020,0,4,mechburn
186,0380-00119,2020,0,3,mechburn
187,0380-00120,2020,0,5,mechburn
188,0380-00125,2020,1.68E-08,8,mechburn
189,0380-00127,2020,0,0,mechburn
190,0570-00011,2020,0.456103086,27,mechburn
191,0570-00013,2020,0,4,mechburn
192,0570-00023,2020,0,6,mechburn
193,0570-00101,2020,0.148819923,10,mechburn
194,0570-00102,2020,0,6,mechburn
195,0570-00103,2020,0,4,mechburn
196,0570-00104,2020,0,4,mechburn
197,0570-00105,2020,0,7,mechburn
198,0570-00106,2020,0,2,mechburn
199,0570-00110,2020,8.43E-07,5,mechburn
200,0570-00111,2020,5.42E-07,12,mechburn
201,0570-00112,2020,0.001052131,7,mechburn
202,0570-00113,2020,3.72E-05,3,mechburn
203,0570-00119,2020,0.002811976,9,mechburn
